Player Name,Rating,Link
"Chan, Eliana",1776,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=155512
"Chan, Elijah",926,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=174574
"Chan, Matthew",763,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=179215
"Chang, Livia",179,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176879
"Chawla, Saarth",782,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=174820
"Chen, Andy",1151,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=154193
"Chen, Blandon",2004,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=172285
"Chen, Chen",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=184176
"Chen, Conner",2041,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=150193
"Chen, Danica",1775,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=174671
"Chen, Lawrence",380,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=173966
"Chen, Lewis",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=189388
"Chen, Ryan",1896,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=110999
"Chen, Sophia",2090,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=109453
"Chen, Wen",1821,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=180141
"Chen, Wesley",1595,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=159245
"Chen, Yishuang",1174,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=179006
"Cheng, Hsien Tzu",2500,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=190288
"Cheung, Camden",2062,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166528
"Ching, Alex",131,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=186547
"Chu, Hao",1483,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=144851
"Chu, Jeff",1625,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=152341
"Davari, Ali",2023,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=95729
"Dileepan, Pranav",885,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=187106
"Do, Viet-Linh",1001,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=174332
"Dong, Natalie",2033,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=124815
"Douglas, Derron",2304,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=102076
"Duan, Kyson",988,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=175864
"Duong, Zoey",1384,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=173113
"Epuri, Ravi",1316,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=154962
"Feng, William",2367,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=154042
"Fersch, Thomas",2185,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=102620
"Fita, Adrien",164,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=187113
"Fita, Anna",1285,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=25913
"Fong, Jacky",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=191487
"Fukuhara, Akio",2484,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=164015
"Gaikwad, Viraaj",272,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=183271
"Gallardo, Diego",2146,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=154387
"Ganesh, Karthik",1385,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=185426
"Gawai, Ravi",1567,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=105881
"Ghosh, Arkaprabho",1385,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=76531
"Goel, Shubham",190,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=191349
"Gousse, Joel",1299,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=129040
"Guan, Haoran",1736,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=96607
"He, Terence",676,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=186879
"He, Xianliang",2316,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=126680
"Herlekar, Mihir",2235,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=153115
"Ho, Calvin",1728,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=100702
"Ho, Daniel",2108,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=155618
"Ho, Titus",1966,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=155683
"Huang, Chunlei",2404,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=179741
"Huang, Holly",1871,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166357
"Huang, Joe",1898,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=95824
"Hung, Hung-Wen",1748,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=162086
"Hwang, Haesung",826,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=173937
"Jiang, Erik",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=184003
"Kao, Cedar",126,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=7483
"Kapoor, Yash",1523,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=104385
"Kashyap, Stuti",2297,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=110301
"Kasichainula, Anagha",2207,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=126851
"Kaundinya, Sridhar",363,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=126236
"Khandelwal, Yashvi",404,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=181502
"Kim, Michael",1079,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=159855
"Krishna, Advik",264,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=175921
"Lai, Boping",1076,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=186126
"Lai, Jessie",137,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=182754
"Lai, Michael",1319,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=112596
"Lai, Stephen",1788,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=38947
"Lee, Aimee",87,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=187436
"Lei, William",1574,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=102754
"Li, Alexander",1704,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=155450
"Li, Andrew",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=190313
"Li, Andy Runze",2444,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=164773
"Li, Brian",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=184577
"Li, Ina",1327,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=179619
"Li, Kevin",471,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=187097
"Li, Michael",2186,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=41190
"Li, Xin",2328,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=154996
"Liang, Kevin",1501,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=181616
"Liebling, Joshua",1945,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=161711
"Liebling, Rich",1103,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=161605
"Liu, Justin",2257,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=127296
"Liu, Louis",1529,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=162227
"Lo, Austin",2321,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=171700
"Lo, Benjamin",2296,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=171701
"Loadholt, Wendell",1392,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=42367
"Ma, Ethan",1773,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=155721
"Mahajan, Shishir",1949,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=95273
"Mahesh, Pannag",165,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=187890
"Martinez, Jose Angel",2299,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=188194
"Maung, Daniel",1514,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=44921
"Mester, Ron",380,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166840
"Mohan, Ayaan",405,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=180568
"Murthy, Pavani",146,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=179879
"Nie, Chulong",2587,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=150381
"Nivin, Evaan",253,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=182701
"Okamoto, Yurina",2346,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176322
"Ong, Jayvon",368,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=184415
"Ong, Jy Hung",240,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=186501
"Ou, Jonathan",2408,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=153073
"Padmarao, Isha Kriti",140,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=177284
"Padmarao, Sandeep",387,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=190923
"Pan, Adelyn",1606,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=175602
"Pandya, Aarvi",1487,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176708
"Patel, Rishaan",419,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=186812
"Pendse, Tanish",2433,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=174326
"Phan, Han-Elliot",1468,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=160968
"Prasanna, Aditi",554,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=161763
"Pratheep, Prithvin",1564,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166208
"Puia, Lalrin",2534,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=175782
"Purwar, Rachel",2051,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=150841
"Ram, Abivridh",1935,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=162989
"Rao, Vedant",718,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=177260
"Rathore, Atul",1618,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=161958
"Raut, Vihaan",1444,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=162861
"Reznik, Michael",206,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=186235
"Riabokoniev, Ruslan",2149,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=88285
"Riley, Tre",2200,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=94254
"Rozhin, Alexander",1609,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=96960
"Saravanan, Aarav",86,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166256
"Saravanan, Aarush",95,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166255
"Saw, Leonard",1477,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176011
"Sen, Elan",1730,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176014
"Sen, Mithran",1001,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176015
"Shahnazari, Robert",2115,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=58991
"Shaikh, Mohammedarman",2470,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=184957
"Shamgunov, Nikita",2064,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=59019
"Shi, Evelyn",1529,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=167575
"Shi, Zachary",733,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=182834
"Singh, Aadev Augustine",263,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166312
"Singh, Rohan Anselm",124,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=167017
"Sivakumar, Vishal",2350,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=153701
"Sounderarajan, Ashwin",1995,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=156897
"Srinivasan, Nivaan",1798,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=173140
"Stephen, Felix",1953,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=165520
"Stephen, Lyla",1605,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=165521
"Subbu, Krish",1445,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=160547
"Sugumar, Shreyan",147,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176665
"Sun, Dewei",1537,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=73714
"Sun, Jonathan",1155,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=170414
"Sun, Xizi (stephanie)",2278,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=85361
"Tai, Jian Feng Calvi",2149,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=110398
"Talukdar, Jishnu",2165,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=156788
"Tam, Gordon",1322,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=63276
"Therriault, James",2275,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=64097
"Tian, Ye",2530,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=89427
"Trivedi, Nidhi",1638,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=174023
"Tsai, Teddy",1280,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=168771
"Tsao, Darryl",2598,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=94010
"Tseng, Aaron",1551,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176445
"Tu, Chi-Hsiung",2487,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=170826
"Velayutham, Shriraam",2227,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=111832
"Velayutham, Sivaraam",2255,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=111833
"Vyas, Zia",285,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=170218
"Wang, Dylan",1157,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=181689
"Wang, Jonathan",1746,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=165338
"Wang, Mendy",2412,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=78237
"Wehbe, Remy",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=186386
"Wu, Chun",1280,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=177665
"Wu, Yiran",2654,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=172972
"Xia, Yuan",2372,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=165650
"Xu, Andrew",809,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=187071
"Xu, Leo",836,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=155668
"Xu, Luke",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=172126
"Xu, Rhoy",2009,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=158767
"Yan, Lingxiao",2497,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=171673
"Yanaga, Edson",1824,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=109589
"Yanaga, Felipe",1389,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=109590
"Yang, Ethan",1543,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=172286
"Yang, Jaden",227,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=176413
"Yang, Olivia",1685,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=170802
"Yang, Sophia",1567,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=170686
"Yeh, Brian",1357,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=170767
"Yim, Cylus",1576,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=168403
"Yu, Marvin",2157,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=98498
"Yuen, Enzo",1587,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=174295
"Zhang, Cyndi (xuxin)",1364,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=90866
"Zhang, Ewan",2030,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=154355
"Zhang, Steve Yu",1509,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=157358
"Zhao, Daniel",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=7620
"Zhao, Matthew",417,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=148309
"Zhou, Arthur",2072,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=166207
"Zhou, Xin",2751,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=73334
"Zhu, Raymond",2338,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=94014
